time,open,high,low,close,tick_volume,spread,real_volume
2026-06-24 14:29:00+00:00,1.13439,1.13439,1.13425,1.13434,83,13,0
2026-06-24 14:30:00+00:00,1.13433,1.13435,1.13421,1.13422,91,13,0
2026-06-24 14:31:00+00:00,1.13421,1.13429,1.13418,1.13429,72,13,0
2026-06-24 14:32:00+00:00,1.13429,1.13439,1.13426,1.13433,92,13,0
2026-06-24 14:33:00+00:00,1.13433,1.13436,1.13429,1.13433,76,13,0
2026-06-24 14:34:00+00:00,1.13434,1.13448,1.13426,1.13447,91,13,0
2026-06-24 14:35:00+00:00,1.13447,1.13453,1.13438,1.1345,75,13,0
2026-06-24 14:36:00+00:00,1.13451,1.13461,1.13447,1.13459,86,13,0
2026-06-24 14:37:00+00:00,1.13458,1.13477,1.13453,1.13474,158,13,0
2026-06-24 14:38:00+00:00,1.13474,1.13481,1.13469,1.13473,109,13,0
2026-06-24 14:39:00+00:00,1.13473,1.13473,1.13452,1.13457,106,13,0
2026-06-24 14:40:00+00:00,1.13458,1.13464,1.13448,1.13448,83,13,0
2026-06-24 14:41:00+00:00,1.13447,1.1345,1.13421,1.13421,66,13,0
2026-06-24 14:42:00+00:00,1.13421,1.1344400000000001,1.13421,1.13427,79,13,0
2026-06-24 14:43:00+00:00,1.13427,1.13434,1.13421,1.13423,66,13,0
2026-06-24 14:44:00+00:00,1.13422,1.13439,1.13422,1.13437,81,13,0
2026-06-24 14:45:00+00:00,1.13437,1.1344400000000001,1.13428,1.13432,83,13,0
2026-06-24 14:46:00+00:00,1.13432,1.13435,1.13427,1.13429,68,13,0
2026-06-24 14:47:00+00:00,1.13429,1.13433,1.13406,1.13407,108,13,0
2026-06-24 14:48:00+00:00,1.13407,1.13434,1.13406,1.13422,112,13,0
2026-06-24 14:49:00+00:00,1.13422,1.13445,1.13421,1.13437,111,13,0
2026-06-24 14:50:00+00:00,1.13435,1.13457,1.13434,1.13453,107,13,0
2026-06-24 14:51:00+00:00,1.13453,1.13466,1.13453,1.13464,99,13,0
2026-06-24 14:52:00+00:00,1.13465,1.13484,1.13464,1.13476,93,13,0
2026-06-24 14:53:00+00:00,1.13477,1.13484,1.13458,1.13458,106,13,0
2026-06-24 14:54:00+00:00,1.13458,1.1346,1.13442,1.1344400000000001,121,13,0
2026-06-24 14:55:00+00:00,1.13445,1.13445,1.13387,1.13387,173,13,0
2026-06-24 14:56:00+00:00,1.13387,1.13395,1.13376,1.13392,122,13,0
2026-06-24 14:57:00+00:00,1.13392,1.13406,1.13382,1.1339,129,13,0
2026-06-24 14:58:00+00:00,1.13389,1.13392,1.13375,1.1338300000000001,101,13,0
2026-06-24 14:59:00+00:00,1.13384,1.13402,1.13381,1.13397,100,13,0
2026-06-24 15:00:00+00:00,1.13398,1.13412,1.13396,1.13402,148,13,0
2026-06-24 15:01:00+00:00,1.13402,1.13451,1.13396,1.1344400000000001,175,13,0
2026-06-24 15:02:00+00:00,1.1344400000000001,1.1345,1.1344,1.13443,93,13,0
2026-06-24 15:03:00+00:00,1.13443,1.13456,1.13426,1.13438,128,13,0
2026-06-24 15:04:00+00:00,1.13438,1.13439,1.13427,1.13427,99,13,0
2026-06-24 15:05:00+00:00,1.13428,1.1343,1.13403,1.13403,107,13,0
2026-06-24 15:06:00+00:00,1.13403,1.13407,1.1339,1.13391,101,13,0
2026-06-24 15:07:00+00:00,1.13391,1.13395,1.1338300000000001,1.13384,75,13,0
2026-06-24 15:08:00+00:00,1.13384,1.13389,1.13377,1.13385,123,13,0
2026-06-24 15:09:00+00:00,1.13387,1.134,1.1338300000000001,1.13396,113,13,0
2026-06-24 15:10:00+00:00,1.13397,1.13404,1.13384,1.13385,99,13,0
2026-06-24 15:11:00+00:00,1.13385,1.13405,1.13381,1.13398,104,13,0
2026-06-24 15:12:00+00:00,1.13398,1.13405,1.13392,1.13394,89,13,0
2026-06-24 15:13:00+00:00,1.13392,1.13394,1.13374,1.13389,104,13,0
2026-06-24 15:14:00+00:00,1.1339,1.13396,1.13385,1.13389,76,13,0
2026-06-24 15:15:00+00:00,1.1339,1.1339299999999999,1.13375,1.13376,90,13,0
2026-06-24 15:16:00+00:00,1.13375,1.13395,1.1337,1.13373,91,13,0
2026-06-24 15:17:00+00:00,1.13373,1.13376,1.13369,1.1337,59,13,0
2026-06-24 15:18:00+00:00,1.1337,1.13378,1.13368,1.13372,78,13,0
2026-06-24 15:19:00+00:00,1.13372,1.13411,1.13368,1.13403,105,13,0
2026-06-24 15:20:00+00:00,1.134,1.13412,1.13384,1.13387,109,13,0
2026-06-24 15:21:00+00:00,1.13388,1.13394,1.13384,1.13391,68,13,0
2026-06-24 15:22:00+00:00,1.13391,1.13394,1.1338300000000001,1.13388,77,13,0
2026-06-24 15:23:00+00:00,1.13388,1.13401,1.13385,1.134,88,13,0
2026-06-24 15:24:00+00:00,1.13399,1.134,1.13378,1.13379,80,13,0
